Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,37.42,37.57,33.63,35.18,35.01,839330000,118.5,119.44,108.23,114.28,113.74,450876100,101.5,102.15,84.81,91.48,91.48,218216500,36.04,36.58,34.11,35.78,35.78,1490818000,24.75,25.47,22.88,23.9,21.85,3117990800
2016-07-01,35.26,40.2,34.95,39.57,39.38,653244000,114.2,128.33,112.97,123.94,123.36,470108600,95.0,101.27,84.5,91.25,91.25,320138000,35.87,38.3,35.83,37.94,37.94,1372710000,23.87,26.14,23.59,26.05,23.82,2743118400
2016-08-01,39.33,40.69,39.25,39.49,39.3,577080000,123.85,126.73,122.07,126.12,125.53,365670900,91.23,98.85,90.5,97.45,97.45,182611000,37.99,38.75,37.52,38.46,38.46,1000008000,26.1,27.56,26.0,26.52,24.25,2520514000
2016-09-01,39.6,40.95,39.17,40.2,40.01,630896000,126.38,131.98,125.6,128.27,127.67,376518100,97.81,100.35,93.26,98.55,98.55,169670600,38.54,42.0,37.8,41.87,41.87,1346714000,26.53,29.05,25.63,28.26,25.98,3872062400
2016-10-01,40.13,41.95,39.81,40.49,40.3,707820000,128.38,133.5,126.75,130.99,130.38,313284400,98.0,129.29,97.63,124.87,124.87,274097800,41.8,42.36,38.73,39.49,39.49,1541276000,28.18,29.67,28.07,28.39,26.09,2747657200
2016-11-01,40.54,40.8,37.18,38.79,38.61,967068000,131.41,131.94,113.55,118.42,117.86,644052900,124.98,125.83,110.68,117.0,117.0,147513000,39.95,40.04,35.51,37.53,37.53,2201718000,28.36,28.44,26.02,27.63,25.4,2886220000
2016-12-01,38.93,41.22,37.67,39.62,39.43,687126000,118.38,122.5,114.0,115.05,114.51,408728400,117.52,129.07,113.95,123.8,123.8,128528700,37.62,39.12,36.83,37.49,37.49,1473204000,27.59,29.5,27.06,28.95,26.75,2435086800
2017-01-01,40.03,43.35,39.84,41.01,40.81,736654000,116.03,133.14,115.51,130.32,129.71,378958900,124.96,143.46,124.31,140.71,140.71,181814100,37.9,42.19,37.38,41.17,41.17,1412280000,28.95,30.61,28.69,30.34,28.03,2252488000
2017-02-01,41.2,42.69,40.6,42.25,42.05,529816000,132.25,137.18,130.3,135.54,134.9,384700500,141.2,145.95,139.05,142.13,142.13,91444800,41.46,43.04,40.15,42.25,42.25,1434966000,31.76,34.37,31.75,34.25,31.64,2299874400
2017-03-01,42.57,43.72,41.22,42.39,42.19,691002000,136.47,142.95,136.08,142.05,141.38,342098600,142.84,148.29,138.26,147.81,147.81,110692700,42.65,44.52,41.67,44.33,44.33,1214214000,34.47,36.12,34.26,35.92,33.33,2246513600
2017-04-01,42.44,46.79,41.73,46.23,46.01,574432000,141.93,151.53,138.81,150.25,149.55,275586300,146.7,153.52,138.66,152.2,152.2,149779000,44.4,47.48,44.22,46.25,46.25,1470794000,35.93,36.37,35.01,35.91,33.32,1493216400
2017-05-01,46.21,49.98,46.04,49.35,49.12,707186000,151.74,153.6,144.42,151.46,150.75,403586900,151.91,164.75,151.61,163.07,163.07,116795800,46.39,50.06,46.39,49.73,49.73,1524040000,36.28,39.16,36.07,38.19,35.44,2615927200
2017-06-01,49.55,50.43,46.48,46.48,46.26,881706000,151.75,156.5,144.56,150.98,150.27,414757100,163.52,166.87,147.3,149.41,149.41,135699700,49.93,50.85,46.35,48.4,48.4,1922708000,38.29,38.99,35.55,36.01,33.55,2736712400
2017-07-01,46.66,50.31,45.77,47.28,47.05,838172000,151.72,175.49,147.8,169.25,168.46,419907600,149.8,191.5,144.25,181.66,181.66,185144700,48.64,54.17,47.55,49.39,49.39,1576248000,36.22,38.5,35.6,37.18,34.64,1688047600
2017-08-01,47.39,47.86,45.93,47.76,47.53,656924000,169.82,173.05,165.0,171.97,171.16,303622800,182.49,184.62,164.23,174.71,174.71,136534400,49.81,50.32,46.82,49.03,49.03,1547836000,37.28,41.13,37.1,41.0,38.2,2644276000
